mes;negativo;arreglo_formal;demandas;uso_de_armas;bajo_influencia;falsa_alarma;lesiones_leves;lesiones_graves;hubo_muerto
enero;3029;914;673;408;355;16;96;41;11
febrero;2545;928;627;365;321;12;81;24;9
marzo;2545;928;627;365;321;12;81;24;9
abril;2691;878;618;408;386;12;79;16;3
mayo;2546;1001;600;430;415;14;83;27;7
junio;2483;951;582;424;433;42;73;23;7
julio;2489;853;521;375;400;39;69;30;8
agosto;2663;816;523;359;386;36;89;24;7
septiembre;2572;767;563;347;304;22;62;28;5
octubre;2813;795;597;382;371;25;62;29;6
noviembre;2426;743;531;367;325;28;53;24;5
diciembre;2249;703;523;376;285;18;67;30;4
